question,expected_chunk_id
1. What date does this version of the Code of Conduct and Ethics come into effect?,0
2. What is the effective date of this updated version of the Code of Conduct and Ethics?,0
"1. What does ""REGULATORY COMPLIANCE"" refer to in the context of this code?",1
1. What is the purpose of section 7?,2
1. What are the guidelines of professional conduct for independent directors of the company?,3
1. What are the standards of business conduct that the Company aims to achieve?,4
"1. What does ""Employee"" mean under the context of Chambal Fertilisers and Chemicals Limited's Code of Conduct?",5
1. What kind of business partners does the Company aim to choose?,6
2. What standards of corporate governance does the Company commit to?,6
"1. What are the criteria for evaluating an individual's employment based on, according to the Company's policy?",7
"2. What does ""honest conduct"" mean in terms of avoiding fraud or deception, as per the Directors' and Employees' standards?",7
"1. What is meant by ""conduct"" as defined in the text?",8
2. Are Directors and Employees allowed to enter into pecuniary relationships that may result in conflicts of interest?,8
"1. What defines a ""conflict of interest"" in terms of the Company's best interest?",9
2. Who is required to disclose a potential conflict of interest to whom?,9
1. Who must report a matter related to a Director or Senior Management Personnel to?,10
2. What type of opportunity can Directors and Employees not take without prior approval from the Company?,10
1. What is the policy regarding transactions that are not solely for the benefit of the Company?,11
2. How should Directors and Employees handle situations where personal and Company benefits overlap?,11
1. What is considered confidential information under the Company's policies?,12
2. Can Directors and Employees use confidential information for personal gain?,12
"1. What is an example of unfair dealing practice, as stated in the Fair Dealing policy?",13
2. Who is responsible for reporting unethical behavior to the Board and/or Managing Director?,13
"1. What are the types of assets included in the definition of ""assets"" mentioned in the text?",14
"2. Are bribes, kickbacks, facilitation payments and other similar payments prohibited for all Company purposes?",14
1. What is the maximum value of gifts that Directors and Employees can accept or offer in private functions/occasions or festivals?,15
2. Under what circumstances can Directors and Employees accept gifts of nominal value?,15
1. What are the requirements for disclosing information about the Company's business to shareholders?,16
1. What are the requirements for disclosing fees and compensation payable to Directors under applicable laws and regulations?,17
2. Who has the responsibility to provide full access to all information and records of the Company?,17
1. What guidelines must independent Directors of the Company uphold?,18
1. What is a concurring vote?,19
2. Under what conditions does an independent director disclose their loss of independence?,19
